Date,Stock Name,Stock Symbol,Open,High,Low,Close,Volume
2020-04-17,RELIANCE,RELIANCE.NS,554.106376557699,560.4858911617296,543.4662273563495,557.7517700195312,33269335.0
2020-04-20,RELIANCE,RELIANCE.NS,558.6631832748742,572.7892127044324,547.7268808389814,566.7742919921875,36030932.0
2020-04-21,RELIANCE,RELIANCE.NS,551.3722674210084,570.51081164982,530.4110568399238,563.8351440429688,61371628.0
2020-04-22,RELIANCE,RELIANCE.NS,601.497073582228,631.0706879129704,592.383498150072,621.3646850585938,142683366.0
2020-04-23,RELIANCE,RELIANCE.NS,623.0735152739206,631.5035906534646,616.6711866665667,624.691162109375,65464502.0
2020-04-24,RELIANCE,RELIANCE.NS,615.2358040667336,681.2182129003229,613.8915571943533,645.697998046875,134986308.0
2020-04-27,RELIANCE,RELIANCE.NS,653.4444869041605,672.1273640758955,648.4320328879195,651.5078735351562,58482901.0
2020-04-28,RELIANCE,RELIANCE.NS,660.7353970822586,663.2188103492521,634.3743251019629,650.77880859375,78453401.0
2020-04-29,RELIANCE,RELIANCE.NS,658.4114840525167,662.3986581494598,647.065020430878,650.2319946289062,37494672.0
2020-04-30,RELIANCE,RELIANCE.NS,662.5353107615038,681.218187986496,655.2900296624665,668.0262451171875,71345899.0
2020-05-04,RELIANCE,RELIANCE.NS,656.1786546026666,667.5706240101214,645.9030379688455,653.9913940429688,53456868.0
2020-05-05,RELIANCE,RELIANCE.NS,662.4214655751155,673.9501348942459,659.4595109617578,665.58837890625,44903763.0
2020-05-06,RELIANCE,RELIANCE.NS,667.1149189801465,676.6614076531504,658.6848438531424,665.6339721679688,40489094.0
2020-05-07,RELIANCE,RELIANCE.NS,663.0138217296458,689.7394282185759,658.4570340664402,686.6863403320312,50026966.0
2020-05-08,RELIANCE,RELIANCE.NS,704.0249776457802,719.9281679451333,700.4250898092043,711.680419921875,84262770.0
2020-05-11,RELIANCE,RELIANCE.NS,719.9736970181377,735.9225139818162,716.4650035219896,718.5155639648438,67085063.0
2020-05-12,RELIANCE,RELIANCE.NS,713.0474297888424,714.6651375071034,667.5706246037154,674.0640258789062,100683202.0
2020-05-13,RELIANCE,RELIANCE.NS,702.4184429765119,702.4184429765119,668.8384921528523,688.365478515625,66430125.0
2020-05-14,RELIANCE,RELIANCE.NS,675.7384827299586,688.4804783301851,657.8215381130784,660.5355224609375,49266771.0
2020-05-15,RELIANCE,RELIANCE.NS,664.2385065154958,674.6805109112274,650.9445403155958,671.322509765625,62152260.0
2020-05-18,RELIANCE,RELIANCE.NS,676.1985315977166,681.7184853435778,656.8785718138772,662.7435302734375,62796089.0
2020-05-19,RELIANCE,RELIANCE.NS,670.2185189077409,672.3805321847751,645.493587116817,648.092529296875,42315854.0
2020-05-20,RELIANCE,RELIANCE.NS,648.5985588995284,665.549538480251,640.7785537088437,659.5005493164062,55320985.0
2020-05-21,RELIANCE,RELIANCE.NS,660.098491926515,672.2654586416027,655.4985104907659,662.9735107421875,39167981.0
2020-05-22,RELIANCE,RELIANCE.NS,667.8265410449226,670.6785028916713,656.1885485680949,658.5115356445312,37828973.0
2020-05-26,RELIANCE,RELIANCE.NS,666.1474836097062,666.8604892522814,651.4964952246243,655.0615234375,33216635.0
2020-05-27,RELIANCE,RELIANCE.NS,658.2585317915773,668.8385141454131,649.5185543040602,664.9515380859375,35667956.0
2020-05-28,RELIANCE,RELIANCE.NS,669.2984730288524,680.6834456434414,666.5384962595565,677.2334594726562,40126278.0
2020-05-29,RELIANCE,RELIANCE.NS,675.2784714480701,677.1184762345216,668.2175253235962,673.6224975585938,40022527.0
2020-06-01,RELIANCE,RELIANCE.NS,680.7984754859256,707.6394270303263,678.9354744701793,699.3594360351562,39943702.0
2020-06-02,RELIANCE,RELIANCE.NS,701.9584668804843,708.398453373302,699.5664301808696,706.42041015625,22153960.0
2020-06-03,RELIANCE,RELIANCE.NS,710.6984633844361,717.5984360622468,705.3394225512732,709.157470703125,25381289.0
2020-06-04,RELIANCE,RELIANCE.NS,710.2383630424556,731.1683637600594,708.8584051128279,726.7063598632812,34202350.0
2020-06-05,RELIANCE,RELIANCE.NS,733.6983614177437,744.2783437013117,723.9003735925849,727.5803833007812,33076685.0
2020-06-08,RELIANCE,RELIANCE.NS,744.4623746917886,744.4623746917886,719.8984163508749,721.9683837890625,31414953.0
2020-06-09,RELIANCE,RELIANCE.NS,717.7363729573435,728.1783772541248,705.1784087942937,707.08740234375,25857161.0
2020-06-10,RELIANCE,RELIANCE.NS,709.8244225345892,726.5914327838592,708.4214682433033,723.1874389648438,22132647.0
2020-06-11,RELIANCE,RELIANCE.NS,720.3584048403216,721.2553805938534,704.2584687737053,707.3404541015625,20385805.0
2020-06-12,RELIANCE,RELIANCE.NS,689.9984506585477,732.7783643332433,688.6184318560329,730.8463745117188,38548899.0
2020-06-15,RELIANCE,RELIANCE.NS,719.8984033642538,748.3953297419844,718.1043910590794,742.6913452148438,53107403.0
2020-06-16,RELIANCE,RELIANCE.NS,755.7783117789476,758.3312613207029,729.2363118522101,744.1403198242188,51187003.0
2020-06-17,RELIANCE,RELIANCE.NS,739.7933100977435,752.3052817078066,736.9643445866477,743.059326171875,41782053.0
2020-06-18,RELIANCE,RELIANCE.NS,739.2183509710031,765.8982683611433,738.5743340846914,761.7122802734375,40471557.0
2020-06-19,RELIANCE,RELIANCE.NS,768.1982645057174,822.846133440199,764.5183157329872,809.3222045898438,105804173.0
2020-06-22,RELIANCE,RELIANCE.NS,815.76220215129,829.930148086336,798.0982166211506,803.2272338867188,60198705.0
2020-06-23,RELIANCE,RELIANCE.NS,804.9981952413019,811.3232004853321,789.4042378396645,791.6122436523438,37962078.0
2020-06-24,RELIANCE,RELIANCE.NS,798.5122100190039,815.4401936154064,787.3802568452616,794.8092041015625,51586221.0
2020-06-25,RELIANCE,RELIANCE.NS,794.4182270495987,804.5382234514822,788.0012366591844,790.2322387695312,39679374.0
2020-06-26,RELIANCE,RELIANCE.NS,795.24621494627,805.9181815885643,789.8181857607415,801.1571655273438,30921913.0
2020-06-29,RELIANCE,RELIANCE.NS,794.9012150095169,800.2831908767122,789.1512381925709,792.647216796875,25621946.0
2020-06-30,RELIANCE,RELIANCE.NS,799.0182486122777,800.858192603552,779.9512480125805,783.88427734375,30276420.0
2020-07-01,RELIANCE,RELIANCE.NS,791.1982291912649,804.5381879100471,785.7012110635577,799.294189453125,28464103.0
2020-07-02,RELIANCE,RELIANCE.NS,801.7782370767524,813.0942213053565,798.121223625843,809.7592163085938,28789533.0
2020-07-03,RELIANCE,RELIANCE.NS,818.7061268314199,824.7781730236076,813.278158358042,822.43212890625,29434266.0
2020-07-06,RELIANCE,RELIANCE.NS,830.2981456729183,854.6780726870462,824.3641377253058,851.8261108398438,47016185.0
2020-07-07,RELIANCE,RELIANCE.NS,855.5980972925861,857.5990759016582,830.8961620673922,838.7850952148438,35189589.0
2020-07-08,RELIANCE,RELIANCE.NS,839.0611224296471,844.075097566977,823.398176376262,827.0781860351562,26204095.0
2020-07-09,RELIANCE,RELIANCE.NS,832.1381226601321,844.0980623505876,821.6731221989066,839.153076171875,36418942.0
2020-07-10,RELIANCE,RELIANCE.NS,841.108120964532,866.9140583932267,839.1530740857988,863.9010620117188,43759967.0
2020-07-13,RELIANCE,RELIANCE.NS,875.5390186254243,895.9399844994094,873.9980260042397,890.0980224609375,69608392.0
2020-07-14,RELIANCE,RELIANCE.NS,889.6380596345867,893.1800309624319,868.1560865732495,881.8180541992188,67331128.0
2020-07-15,RELIANCE,RELIANCE.NS,891.455002891487,910.2459877651605,827.0781944814537,848.2380981445312,139669773.0
2020-07-16,RELIANCE,RELIANCE.NS,849.6180710234593,859.7380667229188,833.7251022501914,847.9620971679688,60961724.0
2020-07-17,RELIANCE,RELIANCE.NS,848.6981300988076,883.19805309735,845.478106461702,879.3800659179688,49726765.0
2020-07-20,RELIANCE,RELIANCE.NS,882.1860130578816,888.7179843628261,873.8370332405661,883.1519775390625,36592938.0
2020-07-21,RELIANCE,RELIANCE.NS,891.9380134623939,909.417967628204,890.7880180787658,906.9109497070312,42173371.0
2020-07-22,RELIANCE,RELIANCE.NS,912.177941795737,924.5979284057075,901.9199684020558,921.8379516601562,59771457.0
2020-07-23,RELIANCE,RELIANCE.NS,921.8148920838292,956.6598189354759,916.0189226827808,946.5858764648438,58333751.0
2020-07-24,RELIANCE,RELIANCE.NS,946.6778940239717,994.977762365707,946.5859089914276,987.226806640625,120597372.0
2020-07-27,RELIANCE,RELIANCE.NS,1002.2458046674457,1011.4457680751574,978.8318418250902,991.8497924804688,80304827.0
2020-07-28,RELIANCE,RELIANCE.NS,991.8497734528564,1009.237742895325,989.2967629717281,1001.73974609375,55114422.0
2020-07-29,RELIANCE,RELIANCE.NS,1001.8317899513457,1004.0857274022095,952.4048622672901,964.4568481445312,72663399.0
2020-07-30,RELIANCE,RELIANCE.NS,965.5378548231315,984.2597896959359,953.1178679832641,970.06884765625,72857444.0
2020-07-31,RELIANCE,RELIANCE.NS,972.6678730563148,979.3378222049096,944.2859274864206,950.8638916015625,74958061.0
2020-08-03,RELIANCE,RELIANCE.NS,943.5958758272633,946.2178750199478,921.4238943944453,924.137939453125,46715383.0
2020-08-04,RELIANCE,RELIANCE.NS,929.4739222892489,996.817731809804,920.1129246436793,989.2737426757812,92041055.0
2020-08-05,RELIANCE,RELIANCE.NS,997.7377735831376,1010.1576994204984,974.4157965784764,978.164794921875,74549993.0
2020-08-06,RELIANCE,RELIANCE.NS,992.2177663041635,997.1397563264945,969.585798537185,981.6837768554688,49322975.0
2020-08-07,RELIANCE,RELIANCE.NS,979.7057756967199,992.5857482024536,975.2898251017016,987.36474609375,32984416.0
2020-08-10,RELIANCE,RELIANCE.NS,993.1837661632646,995.8977503577446,969.7238120478282,975.1287841796875,26958997.0
2020-08-11,RELIANCE,RELIANCE.NS,982.0057623469044,993.5977618883935,966.1587860288803,981.5457763671875,46828306.0
